direction,destination,destination_code,origin,origin_code,coverage,data_type,both_1990,male_1990,female_1990,both_1995,male_1995,female_1995,both_2000,male_2000,female_2000,both_2005,male_2005,female_2005,both_2010,male_2010,female_2010,both_2015,male_2015,female_2015,both_2020,male_2020,female_2020,both_2024,male_2024,female_2024
immigrants_into_poland,Poland,616,Southern Asia,5501,,B R,174,123,51,247,173,74,352,247,105,675,474,201,1517,1068,449,1671,1206,465,1651,1222,429,1995,1515,480
immigrants_into_poland,Poland,616,India,356,,B R,100,69,31,152,104,48,231,159,72,488,337,151,1202,833,369,1334,962,372,1313,987,326,1624,1265,359
immigrants_into_poland,Poland,616,Iran (Islamic Republic of),364,,B R,74,54,20,95,69,26,121,88,33,187,137,50,315,235,80,337,244,93,338,235,103,371,250,121
immigrants_into_poland,Poland,616,South-Eastern Asia,920,,B R,1018,625,393,1224,752,472,1473,905,568,2194,1361,833,3620,2280,1340,3539,2129,1410,3196,1810,1386,3330,1813,1517
immigrants_into_poland,Poland,616,Viet Nam,704,,B R,1018,625,393,1224,752,472,1473,905,568,2194,1361,833,3620,2280,1340,3539,2129,1410,3196,1810,1386,3330,1813,1517
immigrants_into_poland,Poland,616,Western Asia,922,,B R,1936,1350,586,2433,1671,762,3109,2106,1003,4322,2916,1406,6763,4611,2152,7841,5280,2561,8807,5822,2985,9642,6269,3373
immigrants_into_poland,Poland,616,Armenia,51,,B R,245,140,105,396,226,170,641,367,274,1252,730,522,2686,1610,1076,2833,1658,1175,2685,1521,1164,3117,1739,1378
immigrants_into_poland,Poland,616,Azerbaijan,31,,B R,153,66,87,189,82,107,233,101,132,276,135,141,322,184,138,412,231,181,536,287,249,586,305,281
immigrants_into_poland,Poland,616,Georgia,268,,B R,196,90,106,242,111,131,298,137,161,368,170,198,454,211,243,650,334,316,956,545,411,1197,743,454
immigrants_into_poland,Poland,616,Iraq,368,,B R,283,244,39,325,280,45,374,323,51,439,362,77,520,392,128,587,441,146,657,500,157,675,523,152
immigrants_into_poland,Poland,616,Israel,376,,B R,274,189,85,317,218,99,367,253,114,367,250,117,343,230,113,456,291,165,647,390,257,681,396,285
immigrants_into_poland,Poland,616,Lebanon,422,,B R,248,198,50,280,224,56,316,253,63,341,280,61,360,306,54,423,346,77,508,391,117,518,378,140
immigrants_into_poland,Poland,616,Syrian Arab Republic,760,,B R,368,317,51,436,375,61,517,445,72,614,527,87,728,623,105,881,728,153,1070,840,230,1142,860,282
immigrants_into_poland,Poland,616,Türkiye,792,,B R,169,106,63,248,155,93,363,227,136,665,462,203,1350,1055,295,1599,1251,348,1748,1348,400,1726,1325,401
immigrants_into_poland,Poland,616,EUROPE,908,,B R,1017015,404086,612929,877200,349781,527419,763717,305887,457830,669168,263067,406101,599544,236099,363445,584500,241247,343253,655139,289844,365295,1655869,659711,996158
immigrants_into_poland,Poland,616,Eastern Europe,923,,B R,693604,269180,424424,593837,230884,362953,509565,198493,311072,440716,165108,275608,382833,139871,242962,328798,121646,207152,283727,109666,174061,1189243,428834,760409
immigrants_into_poland,Poland,616,Belarus,112,,B R,139220,55758,83462,123303,49384,73919,109205,43738,65467,97118,37165,59953,86532,32053,54479,76339,28503,47836,67289,26145,41144,56258,22775,33483
immigrants_into_poland,Poland,616,Bulgaria,100,,B R,1055,602,453,1290,739,551,1577,906,671,2013,1145,868,2649,1479,1170,2677,1464,1213,2598,1389,1209,2585,1376,1209
immigrants_into_poland,Poland,616,Czechia,203,,B R,6718,2701,4017,6508,2616,3892,6305,2535,3770,5803,2502,3301,5210,2369,2841,5305,2410,2895,5507,2455,3052,5227,2339,2888
immigrants_into_poland,Poland,616,Hungary,348,,B R,1859,751,1108,1622,661,961,1415,584,831,1345,586,759,1346,651,695,1548,750,798,1830,878,952,1818,880,938
immigrants_into_poland,Poland,616,Republic of Moldova*,498,,B R,146,52,94,204,73,131,285,101,184,417,167,250,625,281,344,835,393,442,1096,527,569,1312,653,659
immigrants_into_poland,Poland,616,Romania,642,,B R,4719,1972,2747,4083,1695,2388,3533,1464,2069,3174,1321,1853,2918,1237,1681,2329,1030,1299,1816,866,950,1449,736,713
immigrants_into_poland,Poland,616,Russian Federation,643,,B R,98934,35032,63902,76486,27084,49402,59131,20938,38193,49654,17169,32485,43255,14722,28533,30954,10603,20351,21433,7539,13894,15923,5796,10127
immigrants_into_poland,Poland,616,Slovakia,703,,B R,1285,519,766,1377,556,821,1476,597,879,1569,693,876,1662,782,880,1795,840,955,1947,868,1079,1897,834,1063
immigrants_into_poland,Poland,616,Ukraine*,804,,B R,439668,171793,267875,378964,148076,230888,326638,127630,199008,279623,104360,175263,238636,86297,152339,207016,75653,131363,180211,68999,111212,1102774,393445,709329
immigrants_into_poland,Poland,616,Northern Europe,924,,B R,158841,62667,96174,121889,48250,73639,94308,37550,56758,80589,31874,48715,82044,33919,48125,102535,46890,55645,182832,89624,93208,269022,134736,134286
immigrants_into_poland,Poland,616,Denmark*,208,,B R,290,116,174,425,170,255,622,249,373,746,343,403,821,450,371,1447,790,657,2780,1475,1305,3551,1865,1686
immigrants_into_poland,Poland,616,Finland*,246,,B R,96,43,53,129,57,72,173,77,96,215,90,125,258,105,153,372,154,218,555,251,304,652,314,338
immigrants_into_poland,Poland,616,Iceland,352,,B R,10,7,3,16,11,5,26,17,9,71,44,27,246,140,106,634,342,292,1563,800,763,2546,1264,1282
immigrants_into_poland,Poland,616,Ireland,372,,B R,,,,,,,,,,794,526,268,3850,2164,1686,10185,5450,4735,21601,11231,10370,34300,17656,16644
immigrants_into_poland,Poland,616,Latvia,428,,B R,2875,1113,1762,2585,1001,1584,2324,900,1424,2060,780,1280,1814,673,1141,1653,613,1040,1516,563,953,1286,486,800
immigrants_into_poland,Poland,616,Lithuania,440,,B R,153456,60295,93161,116110,45622,70488,87851,34518,53333,70221,26512,43709,57527,20754,36773,41340,14464,26876,29081,9973,19108,21305,7308,13997
immigrants_into_poland,Poland,616,Norway*,578,,B R,93,50,43,150,80,70,242,129,113,475,248,227,1006,503,503,2800,1421,1379,8212,4266,3946,13563,7270,6293
immigrants_into_poland,Poland,616,Sweden,752,,B R,228,115,113,368,185,183,595,298,297,811,463,348,1024,682,342,2112,1278,834,4756,2448,2308,6855,3074,3781
immigrants_into_poland,Poland,616,United Kingdom*,826,,B R,1793,928,865,2106,1124,982,2475,1362,1113,5196,2868,2328,15498,8448,7050,41992,22378,19614,112768,58617,54151,184964,95499,89465
immigrants_into_poland,Poland,616,Southern Europe,925,,B R,11254,5608,5646,11714,5914,5800,12956,6620,6336,15472,8050,7422,19608,10619,8989,25741,13970,11771,36641,19340,17301,45782,23657,22125
immigrants_into_poland,Poland,616,Bosnia and Herzegovina,70,,B R,4824,2085,2739,4056,1753,2303,3411,1474,1937,3420,1397,2023,3705,1448,2257,2645,1037,1608,1757,711,1046,1381,579,802
immigrants_into_poland,Poland,616,Croatia,191,,B R,819,363,456,813,361,452,807,358,449,801,393,408,796,446,350,647,360,287,507,275,232,418,225,193
immigrants_into_poland,Poland,616,Greece,300,,B R,1746,1008,738,2140,1235,905,2623,1514,1109,2832,1613,1219,2895,1616,1279,3989,2165,1824,5816,3064,2752,6389,3327,3062
immigrants_into_poland,Poland,616,Italy,380,,B R,1597,810,787,2413,1223,1190,3647,1849,1798,5329,2893,2436,7667,4558,3109,11962,6806,5156,18946,10064,8882,24380,12378,12002
immigrants_into_poland,Poland,616,North Macedonia,807,,B R,154,99,55,173,112,61,193,124,69,240,152,88,314,195,119,318,205,113,309,208,101,308,217,91
immigrants_into_poland,Poland,616,Serbia*,688,,B R,1779,1066,713,1578,945,633,1400,839,561,1242,744,498,1102,660,442,977,605,372,868,556,312,727,482,245
immigrants_into_poland,Poland,616,Spain*,724,,B R,335,177,158,541,285,256,875,462,413,1608,858,750,3129,1696,1433,5203,2792,2411,8438,4462,3976,12179,6449,5730
immigrants_into_poland,Poland,616,Western Europe,926,,B R,153316,66631,86685,149760,64733,85027,146888,63224,83664,132391,58035,74356,115059,51690,63369,127426,58741,68685,151939,71214,80725,151822,72484,79338
immigrants_into_poland,Poland,616,Austria,40,,B R,3125,1484,1641,3606,1712,1894,4162,1976,2186,4019,1929,2090,3585,1739,1846,4889,2382,2507,7205,3518,3687,7579,3760,3819
immigrants_into_poland,Poland,616,Belgium,56,,B R,1163,550,613,1696,802,894,2472,1169,1303,3014,1499,1515,3397,1812,1585,5848,3066,2782,10879,5532,5347,13815,6946,6869
immigrants_into_poland,Poland,616,France*,250,,B R,41126,19099,22027,38257,17401,20856,35589,15849,19740,31606,13738,17868,27241,11524,15717,26453,11413,15040,26167,11594,14573,22881,10511,12370
immigrants_into_poland,Poland,616,Germany,276,,B R,107189,45131,62058,105226,44305,60921,103298,43493,59805,91731,39703,52028,77724,34654,43070,83998,38159,45839,94492,43429,51063,86793,40919,45874
immigrants_into_poland,Poland,616,Luxembourg,442,,B R,60,26,34,81,35,46,110,48,62,150,59,91,205,77,128,264,105,159,338,162,176,388,210,178
immigrants_into_poland,Poland,616,Netherlands*,528,,B R,298,180,118,482,291,191,779,471,308,1317,837,480,2266,1540,726,4740,2964,1776,10264,5652,4612,16195,8033,8162
immigrants_into_poland,Poland,616,Switzerland,756,,B R,355,161,194,412,187,225,478,218,260,554,270,284,641,344,297,1234,652,582,2594,1327,1267,4171,2105,2066
immigrants_into_poland,Poland,616,LATIN AMERICA AND THE CARIBBEAN,904,,B R,370,198,172,472,247,225,614,316,298,833,462,371,1166,726,440,1428,881,547,1750,1045,705,1972,1155,817
immigrants_into_poland,Poland,616,Caribbean,915,,B R,145,95,50,159,104,55,176,116,60,208,139,69,254,173,81,261,173,88,262,168,94,259,163,96
immigrants_into_poland,Poland,616,Cuba,192,,B R,145,95,50,159,104,55,176,116,60,208,139,69,254,173,81,261,173,88,262,168,94,259,163,96
immigrants_into_poland,Poland,616,Central America,916,,B R,43,21,22,64,32,32,96,48,48,159,88,71,279,178,101,377,236,141,491,293,198,557,323,234
immigrants_into_poland,Poland,616,Mexico,484,,B R,43,21,22,64,32,32,96,48,48,159,88,71,279,178,101,377,236,141,491,293,198,557,323,234
immigrants_into_poland,Poland,616,South America,931,,B R,182,82,100,249,111,138,342,152,190,466,235,231,633,375,258,790,472,318,997,584,413,1156,669,487
immigrants_into_poland,Poland,616,Argentina,32,,B R,85,45,40,115,60,55,156,81,75,213,117,96,291,170,121,308,186,122,313,195,118,323,207,116
immigrants_into_poland,Poland,616,Brazil,76,,B R,97,37,60,134,51,83,186,71,115,253,118,135,342,205,137,482,286,196,684,389,295,833,462,371
immigrants_into_poland,Poland,616,NORTHERN AMERICA,905,,B R,5784,2446,3338,7462,3134,4328,9665,4035,5630,11362,5209,6153,12779,6647,6132,19082,9872,9210,29999,15134,14865,36067,18049,18018
immigrants_into_poland,Poland,616,Canada,124,,B R,1169,597,572,1318,673,645,1485,758,727,1674,896,778,1883,1074,809,2903,1571,1332,4725,2371,2354,6421,3063,3358
